"X5000","X10000","X15000"
"1",224,224,205
"2",114,114,152
"3",79,128,251
"4",117,196,95
"5",150,79,252
"6",6,117,1
"7",149,150,229
"8",111,6,169
"9",201,149,108
"10",84,111,21
"11",196,201,154
"12",128,84,194
"13",209,56,219
"14",216,141,141
"15",145,219,56
"16",238,194,84
"17",89,154,201
"18",203,21,111
"19",41,108,149
"20",88,169,6
"21",55,229,150
"22",5,1,117
"23",204,252,79
"24",42,95,196
"25",120,251,128
"26",13,152,114
"27",240,205,224
"28",39,105,209
"29",99,180,216
"30",245,0,145
"31",54,82,238
"32",230,49,89
"33",233,30,203
"34",129,57,41
"35",163,90,88
"36",98,100,55
"37",151,126,5
"38",115,107,204
"39",228,170,240
"40",133,62,13
"41",243,15,120
"42",155,214,42
"43",241,106,39
"44",236,167,54
"45",67,134,245
"46",4,47,99
"47",225,60,230
"48",193,198,233
"49",182,248,129
"50",23,83,151
"51",73,174,115
"52",232,213,98
"53",162,220,163
"54",122,29,228
"55",58,17,133
"56",199,52,243
"57",72,215,241
"58",26,31,155
"59",190,109,67
"60",63,244,4
"61",143,124,236
"62",96,173,225
"63",130,85,193
"64",184,171,182
"65",166,207,23
"66",161,8,73
"67",94,187,232
"68",74,254,122
"69",25,186,162
"70",253,78,58
"71",86,195,199
"72",138,33,72
"73",116,112,26
"74",153,227,190
"75",27,80,63
"76",9,81,161
"77",50,40,94
"78",206,11,25
"79",157,168,74
"80",119,64,166
"81",69,75,184
"82",210,118,130
"83",250,20,96
"84",144,140,143
"85",183,48,253
"86",71,148,86
"87",61,177,138
"88",137,32,153
"89",247,103,116
"90",28,175,27
"91",3,104,9
"92",135,19,50
"93",179,125,206
"94",65,165,157
"95",34,121,119
"96",18,239,69
"97",36,147,210
"98",59,223,250
"99",22,45,144
"100",132,46,59
"101",43,202,183
"102",237,101,18
"103",255,51,34
"104",53,234,65
"105",44,91,179
"106",176,188,135
"107",24,181,3
"108",192,217,28
"109",191,160,247
"110",231,189,137
"111",178,92,61
"112",38,76,71
"113",12,221,36
"114",14,110,22
"115",16,246,43
"116",70,164,132
"117",211,158,185
"118",127,35,212
"119",131,242,97
"120",208,113,200
"121",37,142,66
"122",77,102,197
"123",146,68,10
"124",249,222,136
"125",136,139,249
"126",10,2,146
"127",197,156,77
"128",66,87,37
"129",97,123,208
"130",200,218,131
"131",212,93,127
"132",185,226,211
"133",113,159,70
"134",142,7,16
"135",102,235,14
"136",68,172,12
"137",222,44,38
"138",218,53,178
"139",93,255,231
"140",172,237,191
"141",235,176,192
"142",7,24,24
"143",159,192,176
"144",226,191,237
"145",123,231,44
"146",87,178,53
"147",156,38,255
"148",2,12,172
"149",139,14,235
"150",242,16,7
"151",35,70,159
"152",158,211,226
"153",164,127,93
"154",246,131,218
"155",110,208,123
"156",221,37,87
"157",76,77,156
"158",92,146,2
"159",189,249,139
"160",160,136,222
"161",217,10,68
"162",147,197,102
"163",223,66,142
"164",45,200,113
"165",46,97,242
"166",202,212,35
"167",101,185,158
"168",51,132,164
"169",234,43,246
"170",91,22,110
"171",188,36,221
"172",181,71,76
"173",239,61,92
"174",121,137,189
"175",165,247,160
"176",125,28,217
"177",19,3,181
"178",104,135,188
"179",175,179,91
"180",103,65,234
"181",32,34,51
"182",177,18,101
"183",148,59,202
"184",48,183,46
"185",168,144,45
"186",64,250,223
"187",75,210,147
"188",118,69,239
"189",140,119,121
"190",20,157,165
"191",11,206,125
"192",112,50,19
"193",227,9,104
"194",80,27,175
"195",40,153,103
"196",81,116,32
"197",33,138,177
"198",195,86,148
"199",78,253,48
"200",186,143,140
"201",254,166,20
"202",171,184,118
"203",85,130,75
"204",207,96,64
"205",8,74,168
"206",187,25,11
"207",109,94,40
"208",244,161,81
"209",124,63,80
"210",173,190,227
"211",31,26,112
"212",215,72,33
"213",220,199,195
"214",29,58,78
"215",17,162,186
"216",52,122,254
"217",213,232,187
"218",174,73,8
"219",83,23,207
"220",248,182,171
"221",198,193,85
"222",60,225,173
"223",47,236,124
"224",134,4,244
"225",170,67,109
"226",107,155,31
"227",100,241,215
"228",90,243,52
"229",180,133,17
"230",105,228,29
"231",0,163,220
"232",82,98,213
"233",49,115,174
"234",30,151,83
"235",57,129,248
"236",126,233,198
"237",62,230,60
"238",214,54,47
"239",15,245,134
"240",167,99,106
"241",106,39,167
"242",56,240,15
"243",141,13,214
"244",219,120,62
"245",194,42,170
"246",154,204,107
"247",21,5,126
"248",108,55,100
"249",169,88,90
"250",229,41,57
"251",1,203,30
"252",252,89,49
"253",95,238,82
"254",205,145,0
"255",152,216,180
"256",251,209,105
